DATE,HOUR,RENTED_BIKE_COUNT
25/07/2021,17,2478
25/07/2021,18,2069
25/07/2021,19,1723
25/07/2021,20,1459
25/07/2021,21,1079
25/07/2021,22,722
25/07/2021,23,434
25/07/2022,0,347
25/07/2022,1,126
25/07/2022,2,127
25/07/2022,3,60
25/07/2022,4,65
25/07/2022,5,230
25/07/2022,6,638
25/07/2022,7,1060
25/07/2022,8,1314
25/07/2022,9,862
25/07/2022,10,797
25/07/2022,11,970
25/07/2022,12,1210
25/07/2022,13,1194
25/07/2022,14,1268
25/07/2022,15,1489
25/07/2022,16,2058
25/07/2022,17,2756
25/07/2022,18,2386
25/07/2022,19,1795
25/07/2022,20,1334
25/07/2022,21,1042
25/07/2022,22,824
25/07/2022,23,425
25/08/2019,0,252
25/08/2019,1,128
25/08/2019,2,99
25/08/2019,3,68
25/08/2019,4,67
25/08/2019,5,78
25/08/2019,6,139
25/08/2019,7,268
25/08/2019,8,441
25/08/2019,9,711
25/08/2019,10,1067
25/08/2019,11,1392
25/08/2019,12,1595
25/08/2019,13,1663
25/08/2019,14,1514
25/08/2019,15,1628
25/08/2019,16,1585
25/08/2019,17,1385
25/08/2019,18,1256
25/08/2019,19,925
25/08/2019,20,597
25/08/2019,21,408
25/08/2019,22,239
25/08/2019,23,173
25/08/2020,0,107
25/08/2020,1,49
25/08/2020,2,38
25/08/2020,3,14
25/08/2020,4,31
25/08/2020,5,94
25/08/2020,6,482
25/08/2020,7,735
25/08/2020,8,802
25/08/2020,9,631
25/08/2020,10,606
25/08/2020,11,726
25/08/2020,12,886
25/08/2020,13,780
25/08/2020,14,905
25/08/2020,15,981
25/08/2020,16,1425
25/08/2020,17,2168
25/08/2020,18,2142
25/08/2020,19,1621
25/08/2020,20,946
25/08/2020,21,604
25/08/2020,22,468
25/08/2020,23,278
25/08/2021,0,128
25/08/2021,1,81
25/08/2021,2,59
25/08/2021,3,34
25/08/2021,4,59
25/08/2021,5,226
25/08/2021,6,582
25/08/2021,7,1216
25/08/2021,8,1329
25/08/2021,9,872
25/08/2021,10,739
25/08/2021,11,957
25/08/2021,12,1206
25/08/2021,13,1126
25/08/2021,14,1086
25/08/2021,15,1310
25/08/2021,16,2007
25/08/2021,17,2981
25/08/2021,18,2092
25/08/2021,19,894
25/08/2021,20,701
25/08/2021,21,534
25/08/2021,22,238
25/08/2021,23,147
25/08/2022,0,296
25/08/2022,1,126
25/08/2022,2,80
25/08/2022,3,58
25/08/2022,4,59
25/08/2022,5,206
25/08/2022,6,437
25/08/2022,7,806
25/08/2022,8,1127
25/08/2022,9,330
25/08/2022,10,611
25/08/2022,11,928
25/08/2022,12,1153
25/08/2022,13,1163
25/08/2022,14,1065
25/08/2022,15,1424
25/08/2022,16,1993
25/08/2022,17,2764
25/08/2022,18,2415
25/08/2022,19,1732
25/08/2022,20,749
25/08/2022,21,685
25/08/2022,22,609
25/08/2022,23,481
25/09/2019,0,59
25/09/2019,1,25
25/09/2019,2,19
25/09/2019,3,10
25/09/2019,4,36
