DATE,HOUR,RENTED_BIKE_COUNT
01/05/2016,14,904
01/05/2016,15,1128
01/05/2016,16,857
01/05/2016,17,773
01/05/2016,18,713
01/05/2016,19,601
01/05/2016,20,439
01/05/2016,21,358
01/05/2016,22,372
01/05/2016,23,244
01/05/2017,0,261
01/05/2017,1,110
01/05/2017,2,52
01/05/2017,3,26
01/05/2017,4,53
01/05/2017,5,365
01/05/2017,6,1324
01/05/2017,7,2809
01/05/2017,8,4773
01/05/2017,9,3430
01/05/2017,10,2058
01/05/2017,11,1950
01/05/2017,12,2361
01/05/2017,13,2651
01/05/2017,14,2881
01/05/2017,15,3026
01/05/2017,16,3835
01/05/2017,17,6583
01/05/2017,18,6684
01/05/2017,19,4457
01/05/2017,20,2894
01/05/2017,21,1761
01/05/2017,22,1266
01/05/2017,23,608
01/05/2018,0,238
01/05/2018,1,111
01/05/2018,2,80
01/05/2018,3,66
01/05/2018,4,77
01/05/2018,5,477
01/05/2018,6,1859
01/05/2018,7,3977
01/05/2018,8,6662
01/05/2018,9,4330
01/05/2018,10,2727
01/05/2018,11,2830
01/05/2018,12,3157
01/05/2018,13,3273
01/05/2018,14,3460
01/05/2018,15,3602
01/05/2018,16,4728
01/05/2018,17,8000
01/05/2018,18,8227
01/05/2018,19,5628
01/05/2018,20,3636
01/05/2018,21,2387
01/05/2018,22,1582
01/05/2018,23,921
01/06/2014,0,416
01/06/2014,1,290
01/06/2014,2,160
01/06/2014,3,105
01/06/2014,4,64
01/06/2014,5,58
01/06/2014,6,125
01/06/2014,7,247
01/06/2014,8,571
01/06/2014,9,1057
01/06/2014,10,1601
01/06/2014,11,2020
01/06/2014,12,2485
01/06/2014,13,2574
01/06/2014,14,2821
01/06/2014,15,2869
01/06/2014,16,2819
01/06/2014,17,2805
01/06/2014,18,2495
01/06/2014,19,2056
01/06/2014,20,1541
01/06/2014,21,978
01/06/2014,22,727
01/06/2014,23,449
01/06/2015,0,79
01/06/2015,1,61
01/06/2015,2,28
01/06/2015,3,10
01/06/2015,4,11
01/06/2015,5,106
01/06/2015,6,517
01/06/2015,7,1066
01/06/2015,8,1481
01/06/2015,9,1590
01/06/2015,10,372
01/06/2015,11,109
01/06/2015,12,216
01/06/2015,13,613
01/06/2015,14,741
01/06/2015,15,930
01/06/2015,16,1211
01/06/2015,17,2202
01/06/2015,18,1963
01/06/2015,19,765
01/06/2015,20,579
01/06/2015,21,323
01/06/2015,22,185
01/06/2015,23,125
01/06/2016,0,317
01/06/2016,1,155
01/06/2016,2,80
01/06/2016,3,48
01/06/2016,4,59
01/06/2016,5,321
01/06/2016,6,1506
01/06/2016,7,3215
01/06/2016,8,5284
01/06/2016,9,3635
01/06/2016,10,2136
01/06/2016,11,2101
01/06/2016,12,2338
01/06/2016,13,2445
01/06/2016,14,2452
01/06/2016,15,2736
01/06/2016,16,3349
01/06/2016,17,5751
01/06/2016,18,5919
01/06/2016,19,4101
01/06/2016,20,2774
01/06/2016,21,1883
01/06/2016,22,1279
01/06/2016,23,781
01/06/2017,0,450
01/06/2017,1,194
01/06/2017,2,87
01/06/2017,3,59
01/06/2017,4,84
01/06/2017,5,472
01/06/2017,6,1771
01/06/2017,7,3674
01/06/2017,8,6244
01/06/2017,9,4466
01/06/2017,10,2631
01/06/2017,11,2631
01/06/2017,12,3059
01/06/2017,13,3038
01/06/2017,14,3317
01/06/2017,15,3390
01/06/2017,16,4316
01/06/2017,17,7117
01/06/2017,18,6961
01/06/2017,19,4777
01/06/2017,20,3454
01/06/2017,21,2302
01/06/2017,22,1696
01/06/2017,23,1213
01/07/2013,0,229
01/07/2013,1,106
01/07/2013,2,74
01/07/2013,3,41
01/07/2013,4,37
01/07/2013,5,128
01/07/2013,6,442
01/07/2013,7,875
01/07/2013,8,1738
01/07/2013,9,955
01/07/2013,10,258
01/07/2013,11,182
01/07/2013,12,438
01/07/2013,13,514
01/07/2013,14,456
01/07/2013,15,586
01/07/2013,16,885
01/07/2013,17,1750
01/07/2013,18,1989
01/07/2013,19,1729
01/07/2013,20,1275
01/07/2013,21,870
01/07/2013,22,672
01/07/2013,23,421
01/07/2014,0,276
01/07/2014,1,130
01/07/2014,2,84
01/07/2014,3,48
01/07/2014,4,50
01/07/2014,5,211
01/07/2014,6,999
01/07/2014,7,1877
01/07/2014,8,3201
01/07/2014,9,2334
01/07/2014,10,1319
01/07/2014,11,1226
01/07/2014,12,1417
01/07/2014,13,1473
01/07/2014,14,1615
01/07/2014,15,2124
01/07/2014,16,2022
01/07/2014,17,2599
01/07/2014,18,3797
01/07/2014,19,2935
01/07/2014,20,2053
01/07/2014,21,1397
01/07/2014,22,1021
01/07/2014,23,646
01/07/2015,0,250
01/07/2015,1,126
01/07/2015,2,50
01/07/2015,3,37
01/07/2015,4,28
01/07/2015,5,173
01/07/2015,6,779
01/07/2015,7,1688
01/07/2015,8,3499
01/07/2015,9,2618
01/07/2015,10,1521
01/07/2015,11,1373
01/07/2015,12,1649
01/07/2015,13,1651
01/07/2015,14,1700
01/07/2015,15,1879
01/07/2015,16,2399
01/07/2015,17,4029
01/07/2015,18,4145
01/07/2015,19,2864
01/07/2015,20,1967
01/07/2015,21,1339
01/07/2015,22,1106
01/07/2015,23,669
01/07/2016,0,567
01/07/2016,1,280
01/07/2016,2,163
01/07/2016,3,105
01/07/2016,4,95
01/07/2016,5,301
01/07/2016,6,1131
01/07/2016,7,2115
01/07/2016,8,3919
01/07/2016,9,3227
01/07/2016,10,2140
01/07/2016,11,2223
01/07/2016,12,2622
01/07/2016,13,3165
01/07/2016,14,3490
01/07/2016,15,3192
01/07/2016,16,2947
01/07/2016,17,2003
01/07/2016,18,1673
01/07/2016,19,1816
01/07/2016,20,838
01/07/2016,21,762
01/07/2016,22,385
01/07/2016,23,510
01/07/2017,0,610
01/07/2017,1,404
01/07/2017,2,232
01/07/2017,3,148
01/07/2017,4,97
01/07/2017,5,122
01/07/2017,6,310
01/07/2017,7,603
01/07/2017,8,1197
01/07/2017,9,1921
01/07/2017,10,2514
01/07/2017,11,3044
01/07/2017,12,3186
01/07/2017,13,3198
01/07/2017,14,2825
01/07/2017,15,2281
01/07/2017,16,3053
01/07/2017,17,2988
01/07/2017,18,2708
01/07/2017,19,856
01/07/2017,20,1427
01/07/2017,21,1157
01/07/2017,22,1016
01/07/2017,23,840
01/08/2013,0,405
01/08/2013,1,185
01/08/2013,2,125
01/08/2013,3,62
01/08/2013,4,58
01/08/2013,5,189
01/08/2013,6,811
01/08/2013,7,1716
01/08/2013,8,3086
01/08/2013,9,2008
01/08/2013,10,851
01/08/2013,11,428
01/08/2013,12,264
01/08/2013,13,232
01/08/2013,14,304
01/08/2013,15,261
01/08/2013,16,774
01/08/2013,17,1856
01/08/2013,18,2434
01/08/2013,19,1280
01/08/2013,20,879
01/08/2013,21,729
01/08/2013,22,770
01/08/2013,23,431
01/08/2014,0,393
01/08/2014,1,171
01/08/2014,2,126
01/08/2014,3,53
01/08/2014,4,69
01/08/2014,5,208
01/08/2014,6,823
01/08/2014,7,1632
01/08/2014,8,2950
01/08/2014,9,2272
01/08/2014,10,1365
01/08/2014,11,1406
01/08/2014,12,1682
01/08/2014,13,1884
01/08/2014,14,1922
01/08/2014,15,1952
01/08/2014,16,2496
01/08/2014,17,2958
01/08/2014,18,2711
01/08/2014,19,1966
01/08/2014,20,1329
01/08/2014,21,953
01/08/2014,22,722
01/08/2014,23,611
01/08/2015,0,561
01/08/2015,1,363
01/08/2015,2,211
01/08/2015,3,135
01/08/2015,4,102
01/08/2015,5,65
01/08/2015,6,228
01/08/2015,7,516
01/08/2015,8,1037
01/08/2015,9,1770
01/08/2015,10,2328
01/08/2015,11,3028
01/08/2015,12,3286
01/08/2015,13,2643
01/08/2015,14,2513
01/08/2015,15,2658
01/08/2015,16,2467
01/08/2015,17,2419
01/08/2015,18,2236
01/08/2015,19,2025
01/08/2015,20,1597
01/08/2015,21,1220
01/08/2015,22,979
01/08/2015,23,792
01/08/2016,0,134
01/08/2016,1,98
01/08/2016,2,60
01/08/2016,3,36
01/08/2016,4,73
01/08/2016,5,309
01/08/2016,6,1241
01/08/2016,7,2525
01/08/2016,8,4437
01/08/2016,9,3356
01/08/2016,10,1746
01/08/2016,11,1551
01/08/2016,12,1953
01/08/2016,13,2159
01/08/2016,14,2220
01/08/2016,15,2317
01/08/2016,16,3209
01/08/2016,17,5627
01/08/2016,18,5898
01/08/2016,19,3942
01/08/2016,20,2703
01/08/2016,21,1785
01/08/2016,22,1266
01/08/2016,23,756
01/08/2017,0,415
01/08/2017,1,185
01/08/2017,2,100
01/08/2017,3,60
01/08/2017,4,103
01/08/2017,5,566
01/08/2017,6,2098
01/08/2017,7,3881
01/08/2017,8,6300
01/08/2017,9,4469
01/08/2017,10,2432
01/08/2017,11,2311
01/08/2017,12,2719
01/08/2017,13,2821
01/08/2017,14,2771
01/08/2017,15,3015
01/08/2017,16,3954
01/08/2017,17,7025
01/08/2017,18,7478
01/08/2017,19,5237
01/08/2017,20,3582
01/08/2017,21,2367
01/08/2017,22,1728
01/08/2017,23,1060
01/09/2013,0,480
01/09/2013,1,320
01/09/2013,2,195
01/09/2013,3,121
01/09/2013,4,77
01/09/2013,5,52
01/09/2013,6,81
01/09/2013,7,211
01/09/2013,8,440
01/09/2013,9,868
01/09/2013,10,1201
01/09/2013,11,1388
01/09/2013,12,1804
01/09/2013,13,1973
01/09/2013,14,2171
01/09/2013,15,2204
01/09/2013,16,2196
01/09/2013,17,2163
01/09/2013,18,1987
01/09/2013,19,1617
01/09/2013,20,1188
01/09/2013,21,984
01/09/2013,22,854
01/09/2013,23,660
01/09/2014,0,312
01/09/2014,1,178
01/09/2014,2,125
01/09/2014,3,88
01/09/2014,4,64
01/09/2014,5,44
01/09/2014,6,114
01/09/2014,7,222
01/09/2014,8,480
01/09/2014,9,811
01/09/2014,10,1220
01/09/2014,11,1631
01/09/2014,12,1853
01/09/2014,13,2024
01/09/2014,14,2117
01/09/2014,15,2038
01/09/2014,16,2066
01/09/2014,17,1885
01/09/2014,18,1862
01/09/2014,19,1591
01/09/2014,20,1078
01/09/2014,21,826
01/09/2014,22,597
01/09/2014,23,349
01/09/2015,0,313
01/09/2015,1,151
01/09/2015,2,91
01/09/2015,3,34
01/09/2015,4,47
01/09/2015,5,282
01/09/2015,6,1207
01/09/2015,7,2392
01/09/2015,8,4103
01/09/2015,9,2984
01/09/2015,10,1624
01/09/2015,11,1553
01/09/2015,12,1838
01/09/2015,13,1867
01/09/2015,14,1844
01/09/2015,15,1971
01/09/2015,16,2630
01/09/2015,17,4599
01/09/2015,18,4901
01/09/2015,19,3478
01/09/2015,20,2131
01/09/2015,21,1573
01/09/2015,22,1109
01/09/2015,23,569
01/09/2016,0,483
01/09/2016,1,130
01/09/2016,2,100
01/09/2016,3,61
01/09/2016,4,48
01/09/2016,5,269
01/09/2016,6,905
01/09/2016,7,1392
01/09/2016,8,2710
01/09/2016,9,1237
01/09/2016,10,1098
01/09/2016,11,1618
01/09/2016,12,2220
01/09/2016,13,2408
01/09/2016,14,1035
01/09/2016,15,1037
01/09/2016,16,2686
01/09/2016,17,4704
01/09/2016,18,4793
01/09/2016,19,3442
01/09/2016,20,2175
01/09/2016,21,1615
01/09/2016,22,1218
01/09/2016,23,803
01/09/2017,0,535
01/09/2017,1,292
01/09/2017,2,125
01/09/2017,3,82
01/09/2017,4,87
01/09/2017,5,371
01/09/2017,6,1363
01/09/2017,7,2636
01/09/2017,8,4842
01/09/2017,9,3944
01/09/2017,10,2757
